source,code,country,elevation_ft,frequency_1_frequency,frequency_1_service,frequency_2_frequency,frequency_2_service,frequency_3_frequency,frequency_3_service,latitude,longitude,magnetic_variation,name,state,time_zone,type
airports,AGY,Australia,407,,,,,,,163030S,1285520E,,Argyle Downs Airport,Western Australia,,small_airport
airports,ANZ,Australia,1724,,,,,,,250156S,1321629E,,Angus Downs Airport,Northern Territory,,small_airport
airports,AU-0001,Australia,,,,,,,,335430S,1200849E,,Hopetoun Airfield,Western Australia,,closed
airports,AU-0002,Australia,,,,,,,,324133S,1160429E,,Dwellingup Airstrip,Western Australia,,small_airport
airports,AU-0003,Australia,1425,,,,,,,270918S,1243505E,,Tjukayirla Roadhouse Airstrip,Western Australia,,small_airport
airports,AU-0004,Australia,11,,,,,,,315740S,1155204E,,Langley Park Airstrip,Western Australia,,small_airport
airports,AU-0005,Australia,30,126.7,CTAF,,,,,334721S,1215724E,,Myrup fly in estate Airport,Western Australia,,small_airport
airports,AU-0006,Australia,900,,,,,,,325630S,1175155E,,Harrismith Airport,Western Australia,,small_airport
airports,AU-0007,Australia,1000,,,,,,,324019S,1181008E,,Kulin Airport,Western Australia,,small_airport
airports,AU-0008,Australia,314,,,,,,,352217S,1365137E,,Althorpe Lighthouse,South Australia,,heliport
airports,AU-0009,Australia,,,,,,,,323449S,1155306E,,Pinjarra North Airstrip,Western Australia,,small_airport
airports,AU-0010,Australia,,,,,,,,323959S,1155254E,,Pinjarra Skydiving Airstrip,Western Australia,,small_airport
airports,AU-0011,Australia,,,,,,,,324714S,1154722E,,Wheeler Field,Western Australia,,small_airport
airports,AU-0012,Australia,11,,,,,,,324727S,1154015E,,Lake Clifton Airstrip,Western Australia,,small_airport
airports,AU-0013,Australia,,,,,,,,325059S,1153823E,,Between Lakes Private Airstrip,Western Australia,,small_airport
airports,AU-0014,Australia,,127.1,ctaf,,,,,282616S,1134408E,,Abrolhos East Wallabi Island Airport,Western Australia,,small_airport
airports,AU-0015,Australia,100,,,,,,,342250S,1191955E,,Bremer Bay Airport,Western Australia,,small_airport
airports,AU-0016,Australia,900,,,,,,,315816S,1504841E,,Middlebrook Station Scone Airstrip,New South Wales,,small_airport
